@RELATION iris
@ATTRIBUTE Cena	REAL
@ATTRIBUTE Size REAL
@ATTRIBUTE Place {Stanovanje,Hiša}
@ATTRIBUTE Lokacija {CELJE,KAMNIK,KOPER,KRANJ,LJUBLJANA,MARIBOR,PTUJ,TRBOVLJE,VELENJE}
@DATA
65000,21.00,Hiša,KOPER
380000,279.00,Hiša,MARIBOR
145000,220.00,Hiša,MARIBOR
247000,154.00,Hiša,LJUBLJANA
295000,300.00,Hiša,LJUBLJANA
172000,201.00,Hiša,MARIBOR
250000,120.00,Hiša,MARIBOR
495000,142.00,Hiša,LJUBLJANA
355000,172.00,Hiša,LJUBLJANA
760000,350.00,Hiša,KRANJ
118000,360.00,Hiša,TRBOVLJE
220000,139.00,Hiša,MARIBOR
299000,280.00,Hiša,LJUBLJANA
950000,600.00,Hiša,LJUBLJANA
730000,300.00,Hiša,LJUBLJANA
550000,326.50,Hiša,LJUBLJANA
175000,285.00,Hiša,VELENJE
80000,70.00,Hiša,PTUJ
256000,320.00,Hiša,MARIBOR
420000,210.00,Hiša,LJUBLJANA
499000,220.00,Hiša,LJUBLJANA
780000,232.00,Hiša,LJUBLJANA
180000,275.00,Hiša,MARIBOR
280000,176.00,Hiša,LJUBLJANA
170000,346.60,Hiša,PTUJ
260000,240.00,Hiša,LJUBLJANA
150000,133.00,Hiša,MARIBOR
260000,165.00,Hiša,CELJE
185000,236.00,Hiša,KRANJ
257125,143.00,Hiša,LJUBLJANA
209000,269.00,Hiša,MARIBOR
550000,200.00,Hiša,LJUBLJANA
192517,133.00,Hiša,MARIBOR
520000,230.00,Hiša,LJUBLJANA
150000,260.00,Hiša,MARIBOR
259000,130.00,Hiša,LJUBLJANA
99000,102.00,Hiša,PTUJ
250000,280.00,Hiša,MARIBOR
169000,157.00,Hiša,LJUBLJANA
342000,147.00,Hiša,LJUBLJANA
175000,395.00,Hiša,KOPER
440260,138.90,Hiša,KOPER
195000,120.00,Hiša,LJUBLJANA
399000,553.80,Hiša,MARIBOR
299000,149.00,Hiša,LJUBLJANA
97000,39.62,Hiša,LJUBLJANA
230000,201.00,Hiša,LJUBLJANA
39900,40.00,Hiša,PTUJ
90000,258.00,Hiša,VELENJE
320000,140.00,Hiša,LJUBLJANA
350000,150.00,Hiša,KOPER
500000,273.00,Hiša,LJUBLJANA
169000,250.00,Hiša,PTUJ
145000,64.00,Hiša,LJUBLJANA
90000,137.00,Hiša,MARIBOR
280000,140.00,Hiša,LJUBLJANA
384000,105.00,Hiša,LJUBLJANA
148900,126.00,Hiša,MARIBOR
490000,300.00,Hiša,LJUBLJANA
210000,201.00,Hiša,LJUBLJANA
130000,466.00,Hiša,LJUBLJANA
360000,372.00,Hiša,CELJE
480000,210.00,Hiša,LJUBLJANA
275000,213.00,Hiša,LJUBLJANA
670000,334.00,Hiša,LJUBLJANA
225000,216.00,Hiša,KAMNIK
295000,72.00,Hiša,LJUBLJANA
150000,116.70,Hiša,MARIBOR
292000,266.00,Hiša,LJUBLJANA
198000,200.00,Hiša,TRBOVLJE
265000,255.00,Hiša,LJUBLJANA
132084,115.80,Hiša,MARIBOR
87000,155.00,Hiša,TRBOVLJE
197000,100.00,Hiša,CELJE
320000,240.00,Hiša,MARIBOR
311635,176.00,Hiša,LJUBLJANA
122500,180.00,Hiša,CELJE
419230,117.07,Hiša,LJUBLJANA
260000,135.00,Hiša,LJUBLJANA
449000,242.00,Hiša,LJUBLJANA
297000,162.00,Hiša,MARIBOR
490000,240.00,Hiša,LJUBLJANA
1390.000,765.00,Hiša,LJUBLJANA
80000,80.00,Hiša,PTUJ
290000,370.00,Hiša,LJUBLJANA
230000,163.00,Hiša,KOPER
475000,338.00,Hiša,MARIBOR
350000,195.00,Hiša,LJUBLJANA
85000,136.00,Hiša,TRBOVLJE
400000,217.00,Hiša,MARIBOR
490000,350.00,Hiša,KOPER
98420,45.00,Hiša,MARIBOR
280000,112.00,Hiša,LJUBLJANA
45000,42.00,Hiša,VELENJE
200000,160.00,Hiša,KRANJ
94000,82.00,Hiša,MARIBOR
